id,Earthquake,Flood,Tsunami,Hurricane,RC,Wood,Steel,Masonry,Lowrise,Medrise,Regional,Urban,Residential,Govern_Top,Hazard,Material,Type,Locationwise,Usage,Keywords,Approach
17496,0.733099997,0,0,0,0.051317,0,0,0.073784,0,0,0.047400001,0,0,Earthquake,Earthquake, , , , ,"seismic, earthquake, ground_motion, nonlinear ",Analytical
15770,0.074900001,0.842499971,0,0,0.005243,0,0,0.007885,0,0,0.039500002,0,0.0142,Flood,Flood, , , , ,"flood, depth, cost, observation, case_study ",Empirical
20395,0.66049999,0,0,0,0.046234999,0,0,0.066880999,0,0,0.083099999,0.208499998,0,Earthquake,Earthquake, , ,Urban, ,"seismic, earthquake, ground_motion, nonlinear,  urban, block, energy, ",Analytical
19715,0.149499997,0.393599987,0,0,0.010465,0,0,0.01506,0,0,0.011,0.234099999,0.171900004,Flood,Flood, , ,Urban,Residential,"flood, depth, cost, observation, case_study,  urban, block, energy, residential, empirical, italian, disaster, national",Empirical
21380,0.786499977,0.081699997,0,0.055399999,0.055054998,0,0.015699999,0.078649998,0,0,0,0.031800002,0,Earthquake,Earthquake, , , , ,"seismic, earthquake, ground_motion, nonlinear ",Empirical
13208,0.601000011,0,0.177900001,0,0.042070001,0.0122,0,0.060483001,0,0,0.0383,0,0.147799999,Earthquake,Earthquake, , , ,Residential,"seismic, earthquake, ground_motion, nonlinear, residential, empirical, italian, disaster, national",Analytical
21869,0.784300029,0.015,0,0,0.054901002,0,0,0.078902003,0,0,0.047200002,0.057599999,0.0125,Earthquake,Earthquake, , , , ,"seismic, earthquake, ground_motion, nonlinear ",Analytical
16666,0.129500002,0.681999981,0,0,0.009065,0,0,0.014537,0,0,0.158700004,0,0,Flood,Flood, , ,Regional, ,"flood, depth, cost, observation, case_study,  regional, ",Empirical
12969,0.900300026,0.0114,0,0,0.063021002,0,0,0.090030003,0,0,0,0.033300001,0,Earthquake,Earthquake,Masonry, , , ,"seismic, earthquake, ground_motion, nonlinear, masonry, unreinfored_masonry,  ",Analytical
15589,0.374900013,0.0113,0,0,0.081243001,0,0,0.037490001,0,0.00715,0,0.059,0.457599998,Residential,Earthquake,RC, , ,Residential,"seismic, earthquake, ground_motion, nonlinear, reinforce_concrete, resilience, beam,  disaster_management,  residential, empirical, italian, disaster, national",Empirical
17463,0.426899999,0,0,0,0.497182998,0,0,0.043373,0,0.060749,0.068300001,0,0,RC,Earthquake,RC,Medrise, , ,"seismic, earthquake, ground_motion, nonlinear, reinforce_concrete, resilience, beam,  disaster_management, medium_rise,  ",Analytical
