id,Analytical,Empirical,Hybrid,ML
17496,0.244084071,0.013299353,0.031073947,0.023499854
15770,0.061747377,0.243532949,0.035283394,0.021092632
20395,0.268477075,0.049181982,0.111007632,0.006243837
19715,0.190411877,0.943296199,0.009152442,0.013774329
21380,0.061072498,0.201969617,0.045183498,0.004488633
13208,1,0,0,0
21869,0.196417666,0.077855485,0.029176416,0.011222747
16666,0.061093592,0.221863303,0.053302056,0.006831333
12969,1,0,0,0
15589,0.04302209,0.267316504,0.047541912,0.005188073
17463,0.5,0.01008946,0.064620012,0.030889811
16874,0.200270943,0.087220022,0.056622639,0.022260058
20996,0.6308489,0.010444513,0.06643081,0.002445529
20688,0.700787429,0.050103187,0.052458503,0.003093648
17853,0.131005786,0.064679189,0.282621704,0.017839175
13373,1,0,0,0
13315,0,1,0,0
15108,0.05774838,0.011102807,0.007330386,0.562773642
19663,0.05227045,0.174513881,0.141796851,0.020855017
21675,0.171870072,0.012994718,0.029640573,0.061708525
20096,0.066245918,0.560126993,0.081923701,0.016593719
20147,0.092123984,0.006187391,0.009060285,0.841834748
18023,0.220541894,0.018916703,0.032625574,0.024620216
12545,1,0,0,0
15090,0.208229615,0.037018819,0.030140094,0.01476277
19063,0.090925899,0.392082251,0.032194291,0.028520371
21225,0.314039201,0.051813848,0.006032773,0.007243599
20585,0.175268873,0.101720263,0.034922137,0.022610402
15472,0.466362204,0.027279086,0.019498109,0.01192529
15335,0.023891146,0.051158837,0.055996049,0.859264081
15433,0,1,0,0
18217,0.480412389,0.009713974,0.02090263,0.028996382
21269,0.339038408,0.019278608,0.04452706,0.01743273
12872,0,1,0,0
22248,0.384746997,0.049239164,0.003317574,0.019469824
15886,0.016108641,0.017435834,0.022436504,0.7547386
18771,0,0,0,1
17564,0.087573963,0.030168854,0.043992951,0.016019264
19300,0.110023683,0.070194549,0.067358904,0.011737496
17197,0.475300885,0.012151083,0.007873261,0.005420463
15334,0.299839923,0.271489329,0.065419156,0.005136632
19780,0.229699605,0.017085523,0.014132694,0.030254369
17925,0.214197425,0.047721799,0.053691708,0.019707947
20522,0.46070772,0.006011293,0.005392306,0.068313927
19895,0.102480273,0.056497686,0.363118873,0.003123221
21222,0.109071661,0.061980018,0.222508546,0.016991782
18548,0.052345137,0.354639898,0.128301169,0.014205956
18435,0.708712977,0.012386292,0.016479217,0.066199447
12636,0,0,0,0
12615,0,0,1,0
12949,0,0,0,0
12528,0,0,1,0
17540,0.104039148,0.06200282,0.049320732,0.03413524
20425,0.348340264,0.060579853,0.027742583,0.012453123
22034,0.061443309,0.534701389,0.03455322,0.003038043
21181,0.629767564,0.006862371,0.03958212,0.00444733
12797,1,0,0,0
16900,0.556364061,0.02838473,0.013676824,0.015056831
17869,0.111772472,0.536229032,0.035551219,0.006702496
12959,1,0,0,0
18997,0.291168874,0.131652186,0.04946403,0.006513438
19784,0.251373365,0.02338453,0.07257663,0.009263239
18772,0.071947314,0.007729127,0.008523004,0.967657313
13093,0,0,0,1
19286,0.115283772,0.143296594,0.039447542,0.078635034
19795,0.455455943,0.023654147,0.023541106,0.017436266
19505,0.412341164,0.016310115,0.042913474,0.01031771
