id,content,title,PY,wosarticle__de,wosarticle__wc,relevant,seen
12508,"The Pacific coast of Colombia has witnessed several tsunami events in the last century. However, the physical damage to structures at the time was not recorded, even when these events have brought overwhelming destruction to coastal communities. This lack of data increases uncertainties when assessing future tsunami impacts. Nonetheless, other regions of the world, which have been also affected by tsunami, have collected damage information that has been used to build empirical tsunami fragility functions. Based on a demand parameter, such as the tsunami inundation depth, a fragility function expresses the probability of building damage. Hence, regions with no recent tsunami damage cannot develop empirical fragility functions since post-disaster damage survey data is not available. One alternative for these regions is to develop analytical fragility functions out of computational nonlinear structural analysis. Reinforced concrete buildings and palafitte houses are selected to perform a comparative analysis of collapse damage assessment expressed in empirical and analytical fragility functions. © 2021 Institute of Physics Publishing. All rights reserved.","A comparative analysis of empirical and analytical tsunami fragility functions for buildings in Tumaco, Colombia",2021,None,Concrete buildings  Damage detection  Disasters  Reinforced concrete  Uncertainty analysis  Coastal communities  Comparative analysis  Damage assessments  Damage information  Fragility function  Nonlinear structural analysis  Physical damages  Tsunami inundation  Tsunamis,1,1
12510,"A fragility function shows the building damage likelihood based on a demand parameter such as the tsunami flow depth. While empirical fragility functions have been developed by using postdisaster damage survey data, regions with no recent tsunami damage cannot develop these estimations. Alternatively, analytical fragility functions could be developed to fill this gap. Along the Colombian Pacific coast, several tsunami events have occurred; however, the aftermath resulting from the structure physical damage was not recorded. Fortunately, other regions of the have collected tsunami damage information, which has been analyzed and represented in terms of empirical fragility functions. This paper provides a comparative study of empirical and analytical tsunami fragility functions. It is focused on the analytical fragility functions developed for typical structures in Tumaco, Colombia and on empirical fragility curves taken from damage survey data of recent tsunami events. The differences in the assessments of the damage produced by the two methods in the case of a two-story reinforced concrete building in Tumaco is discussed herein. As a result of the comparison, it was shown that the structures in Tumaco have higher collapse probabilities at lower flow depths than structures in other places along the Pacific and Indian Oceans. © 2020 Japan Society of Civil Engineers.","A comparative study of empirical and analytical fragility functions for the assessment of tsunami building damage in Tumaco, Colombia",2020,analytical fragility curves  empirical fragility curves  nonlinear structural analysis  Tsunami damage,Concrete buildings  Reinforced concrete  Surveys  Tsunamis  Collapse probabilities  Comparative studies  Fragility curves  Fragility function  Nonlinear structural analysis  Physical damages  Tsunami damages  Typical structures  Damage detection,1,1
12512,"In the last decade, probabilistic approaches for flood risk assessment have emerged, often as an extension of more consolidated methods used in probabilistic seismic risk assessment. Nonetheless, only a few studies deal with best-practice methodologies for flood vulnerability assessment and existing approaches lack of an appropriate guidance for their selection. These concerns underline the need for a rational, integrated and complete compendium of all the existing flood-related vulnerability and fragility relationships to be used in a comprehensive probabilistic flood risk assessment framework. Following the same approach used in the guidelines recently developed by the Global Earthquake Model (GEM) Project, this paper presents a preliminary review of the state-of-art regarding existing empirical vulnerability and fragility curves in the context of flood risk. In particular, a worldwide overview is intended in terms of data sources, assets features and also statistical techniques employed for data collection and fitting. The research aims at providing a complete and flexible guide for selection of vulnerability and fragility curves for building structures. A discussion on data sources, building classification and considered features, and damage scales is presented, in order to evaluate the reliability, and at the same time the limitations, of different approaches and provide recommendation for future studies.",A compendium of existing vulnerability and fragility relationships for flood: Preliminary results,2015,None,Classification (of information)  Risk assessment  Building structure  Earthquake modeling  Flood risk assessments  Flood vulnerabilities  Fragility curves  Probabilistic approaches  Probabilistic seismic risk assessments  Statistical techniques  Floods,1,1
12518,"Compound natural hazards likeEl Ninoevents cause high damage to society, which to manage requires reliable risk assessments. Damage modelling is a prerequisite for quantitative risk estimations, yet many procedures still rely on expert knowledge, and empirical studies investigating damage from compound natural hazards hardly exist. A nationwide building survey in Peru after theEl Ninoevent 2017 - which caused intense rainfall, ponding water, flash floods and landslides - enables us to apply data-mining methods for statistical groundwork, using explanatory features generated from remote sensing products and open data. We separate regions of different dominant characteristics through unsupervised clustering, and investigate feature importance rankings for classifying damage via supervised machine learning. Besides the expected effect of precipitation, the classification algorithms select the topographic wetness index as most important feature, especially in low elevation areas. The slope length and steepness factor ranks high for mountains and canyons. Partial dependence plots further hint at amplified vulnerability in rural areas. An example of an empirical damage probability map, developed with a random forest model, is provided to demonstrate the technical feasibility.",A data-mining approach towards damage modelling for El Nino events in Peru,2020,Natural hazard  damage model  residential buildings  data-mining  remote sensing  open data,PHYSICAL VULNERABILITY  HAZARD  FLOODS  RISK  MAP  PROBABILITY  VARIABILITY  REGRESSION  PREDICTION  AREQUIPA,0,1
12523,"The current research is targeted to develop the analytical fragility relationships of reinforced concrete (RC) buildings in high-intensity seismic zones by considering the effects of higher structural modes to reduce the computational effort. A new framework is presented in the study to assess the vulnerability in terms of the fragility relationships that can consider the modal response of individual modes in a building structure. The developed methodology considers the uncoupled modes of a structure employing a nonlinear single degree of freedom structures and defines distinct limit states for each mode separately. By using the presented methodology, the response of higher modes can be incorporated in the fragility assessment. For elucidation, a two-story reinforced concrete (RC) school building structure is selected from seismic zone 4 of Pakistan. In the first place, its vulnerability is assessed by developing fragility relationships using dynamic response history analysis of full three Dimensional nonlinear analytical models, subsequently, the fragility relationships are developed using the presented methodology by considering the first two modes of the structure. Afterward, a comparison has been made between the developed fragility curves from both of the methodologies. The results prove the effectiveness, swiftness, and the simplicity of the established methodology for carrying out the vulnerability assessments without compromising any accuracy. The developed framework reduces the computational time of one calculation cycle from 72 h for conventional methods to merely 4 h using a regular computer. © 2021 Institution of Structural Engineers",A Framework with reduced computational burden for Seismic Fragility Assessment of Reinforced Concrete Buildings in High-Intensity Seismic Zones,2021,Fragility curves  Higher Modes  Reinforced Concrete (RC) Buildings  Uncoupled Modal Response History Analysis (UMRHA),None,1,1
12525,"A fragility curve is a function that expresses the probability of failure of a structure or component as a function of the intensity of external aggression. This paper proposes a general framework for the development of analytical fragility functions from data based on the copula approach. Such a model allows for any kinds of marginal distributions and dependence structures so that it can be applied to various types of fragility data, analytical or empirical. The fragility function is then derived from the joint distribution of intensity and damage measures. The Bayesian information criterion is used to select the most plausible model among the candidate joint distributions, given the data. The practical implementation of the methodology is illustrated by an analytical test case and by the evaluation of seismic fragility curves for a reinforced concrete building. Several candidate marginal distributions, in agreement with the nature and the physical properties of the variables (e.g. common intensity and damage measures take only positive values) are evaluated. In particular, seismic intensity measures are lognormal random variables according to seismological models. This paper is focused on bivariate distributions but the case of vector valued intensity measures can be treated accordingly. © 2016 Elsevier Ltd",A general framework for the estimation of analytical fragility functions based on multivariate probability distributions,2017,Conditional probability  Copula  Fragility curve  Performance based earthquake engineering  Time history analysis,Concrete buildings  Damage detection  Earthquake engineering  Highway bridges  Probability  Reinforced concrete  Seismology  Conditional probabilities  Copula  Fragility curves  Performance-based earthquake engineering  Time history analysis  Probability distributions,1,1
12526,"The use of different methods for physical flood vulnerability assessment has evolved over time, from traditional single-parameter stage-damage curves to multi-parameter approaches such as multivariate or indicator-based models. However, despite the extensive implementation of these models in flood risk assessment globally, a considerable gap remains in their applicability to data-scarce regions. Considering that these regions are mostly areas with a limited capacity to cope with disasters, there is an essential need for assessing the physical vulnerability of the built environment and contributing to an improvement of flood risk reduction. To close this gap, we propose linking approaches with reduced data requirements, such as vulnerability indicators (integrating major damage drivers) and damage grades (integrating frequently observed damage patterns). First, we present a review of current studies of physical vulnerability indicators and flood damage models comprised of stage-damage curves and the multivariate methods that have been applied to predict damage grades. Second, we propose a new conceptual framework for assessing the physical vulnerability of buildings exposed to flood hazards that has been specifically tailored for use in data-scarce regions. This framework is operationalized in three steps: (i) developing a vulnerability index, (ii) identifying regional damage grades, and (iii) linking resulting index classes with damage patterns, utilizing a synthetic ""what-if""analysis. The new framework is a first step for enhancing flood damage prediction to support risk reduction in data-scarce regions. It addresses selected gaps in the literature by extending the application of the vulnerability index for damage grade prediction through the use of a synthetic multi-parameter approach. The framework can be adapted to different data-scarce regions and allows for integrating possible modifications to damage drivers and damage grades. © 2020 Author(s).",A generic physical vulnerability model for floods: Review and concept for data-scarce regions,2020,None,conceptual framework  data set  disaster management  flood  flood damage  multivariate analysis  risk assessment  vulnerability,1,1
12528,"“Earthquake’s do kill the people.” It is a clear misconception. Earthquakes never kill, but it is always the constructional failure which makes the situation worse and leads to the loss of life. Earthquake’s root to a huge economic loss apart from the tortuous pain of loss of lives. This calls for the need of seismic strengthening as the circumgyrations are inevitable. Seismic strengthening improves the structural safety but does not reduce the seismic response. Seismic strengthening is a pre-disaster assessment. But the need to study the observance of the existing buildings against the circumgyrations lead to a stew of post-disaster mitigation with pre-disaster planning known as Fragility analysis. Fragility analysis refers to the partial assessment of vulnerability of the buildings subjected to earthquake motions. In this study, the fragility curves are developed with the aid of Incremental dynamic analysis or Nonlinear dynamic analysis conducted on the model. The curves explain the conditional anticipation which outstrip adefinite limit of failure and therefore guesstimate the susceptibility of the structure. Fragility curves are very much useful in seismic loss estimation studies in earth quake prone zones. Two structural models four storey & six storey 3D open frame buildings were considered.The structural models are designed for dead, live and seismic loads according to the Indian Code. A set of 5 Farfield ground motions scaled from 0.1 to 1 with an increment of 0.1 are used in the Incremental dynamic analysis using SAAP2000. Four performance levels, namely Fully Operational (FO), Immediate Occupancy (IO), Life Safety (LS) and Collapse Prevention (CP) were considered and monitored in the analysis using MATLAB. The objective of the study is to develop the fragility curves for a low rise (G+3) and medium rise (G+5) building models using the Graphical User Interface (GUI) in MATLABR2016a considering the four selected performance levels. The study depicts the use of Hybrid method (combination of Expertise & analytical methods) for the development of Fragility Curves. © BEIESP.",A gui framework for the development of fragility curves for a low-rise & medium-rise buildings,2019,Fragility analysis  Fragility curves  Graphical User Interface (GUI)  Incremental Dynamic Analysis (IDA)  MatlabR2016a  Non-linear Dynamic analysis  Post-disaster mitigation  Pre-disaster assessment  SAAP2000  Seismic strengthening  Vulnerability assessment,None,1,1
12532,"The 2017 Puebla, Mexico, earthquake event led to significant damage in many buildings in Mexico City. In the months following the earthquake, civil engineering students conducted detailed building assessments throughout the city. They collected building damage information and structural characteristics for 340 buildings in the Mexico City urban area, with an emphasis on the Roma and Condesa neighborhoods where they assessed 237 buildings. These neighborhoods are of particular interest due to the availability of seismic records captured by nearby recording stations, and preexisting information from when the neighborhoods were affected by the 1985 Michoacán earthquake. This article presents a case study on developing a damage prediction model using machine learning. It details a framework suitable for working with future post-earthquake observation data. Four algorithms able to perform classification tasks were trialed. Random forest, the best performing algorithm, achieves more than 65% prediction accuracy. The study of the feature importance for the random forest shows that the building location, seismic demand, and building height are the parameters that influence the model output the most. © The Author(s) 2020.","A machine learning damage prediction model for the 2017 Puebla-Morelos, Mexico, earthquake",2020,2017 Puebla Mexico earthquake  damage assessment  damage prediction  machine learning  seismic building damage,Buildings  Damage detection  Decision trees  Earthquakes  Machine learning  Predictive analytics  Random forests  Building assessment  Civil engineering students  Classification tasks  Damage prediction models  Earthquake observations  Prediction accuracy  Recording stations  Structural characteristics  Forecasting  algorithm  building  earthquake damage  machine learning  numerical model  prediction  seismic response  Mexico [North America]  Morelos  Puebla [Mexico],1,1
12534,"The study of the seismic vulnerability of Reinforced Concrete (RC) buildings is a topic of large interest for the scientific community and public institutions, who have the task of providing mitigation strategies for the seismic risk for a wide and inhomogeneous portfolio of buildings with very limited economic resources. With this regard, within the research project ReLUIS 2014-2018, typological and structural information about recurrent classes of RC buildings was collected in some municipalities of Puglia, Italy. Based on these data, it has been possible to identify some representative “Index” buildings, characterized by common morphological, mechanical and geometrical features and identified by a set of relevant characteristic parameters having a defined variation within a plausible range. In this paper, based on the available dataset of building information in some municipalities and on the results of seismic vulnerability analyses about residential RC building typologies, the fragility of representative Index buildings has been investigated. In particular, by using the data collected from a previous large-scale investigation performed in the Municipality of Bovino, preliminary regional fragility curves have been derived for of the index buildings previously defined. The significant mechanical parameters have been varied within pre-defined ranges; for each obtained “sample” simulated design has been made deriving the computational model; at last, the assessment has been performed through the development of a pushover-based procedure. The variation of the parameters and their combination have been carried out in order to appraise their influence in the regional seismic fragility. Copyright © 2019 COMPDYN Proceedings. All rights reserved.",A mechanical approach for estimating regional fragility curves of existing RC buildings stock in Puglia,2019,Existing RC buildings  Fragility curves  Mechanical vulnerability approach  Regional scale  Typological data,Computational methods  Concrete buildings  Engineering geology  Reinforced concrete  Seismology  Structural dynamics  Fragility curves  Mechanical vulnerability approach  RC buildings  Regional scale  Typological data  Earthquake engineering,1,1
